공연명,장소,날짜
조디 그립 내한공연 (Geordie Greep Live In Seoul),롤링홀,2025.02.20
2024 WINTER DREAM CONCERT,경희대학교 평화의전당,2024.11.30 - 2024.12.01
GUMMY Tour Concert 2024 〈LOVE〉,전국 각 지역,2024.11.09 - 2024.12.28
"2024 오누이 “우리들의 학창시절” 〈김용임,진성〉 - 이천",이천아트홀 대공연장,2024.12.14
이승환 35주년 콘서트 〈HEAVEN〉,전국 각 지역,2024.11.02 -
Naniwa Danshi ASIA TOUR 2024+2025 ‘+Alpha’,인스파이어 아레나,2025.01.11 - 2025.01.12
2024 김창옥 토크콘서트 시즌 4 하반기 전국투어,전국 각 지역,2024.08.10 ~ 2024.12.29
잠골버스 The Live Vol.3 ［겨울나기］,성수아트홀,2024.12.22
박종민 연말 단독콘서트 ［White Love］,성수아트홀,2024.12.21
SHISHAMO 라이브 하우스 투어 2024,롤링홀,2024.12.07
2025 World DJ Festival,서울랜드,2025.06.14 - 2025.06.15
진성 30주년 기념 콘서트 〈진성 빅쇼〉,"부산,창원,울산,인천",2024.09.21 - 2024.11.30
2024 이은미 라이브 투어 ［MOVE ON］,전국 각 지역,2024.11.16 ~
Porter Robinson SMILE! :D World Tour in Seoul,명화 라이브 홀,2024.12.12
인스파이어 아레나 백스테이지 투어,인스파이어 아레나,2024.09.30 - 2024.12.30
STRAW PICK 노래하는 도슨트 〈고흐가 당신에게〉,씨스퀘어 (C SQUARE),2024.12.07
THE GREATEST : 불후의명곡 정동하X알리,각 공연장,2024.08.31 ~
"함께하는 사랑밭 감사콘서트＇사랑의 시간, 온기를 더하다＇",성신여대 운정그린캠퍼스 대강당,2024.11.30
하이어 라이플 콜렉션 라이브 2024 메리 앤드 해피,복합 문화공간 몽향,2024.12.25
